#,"Mã 
đối tác",Tên  đối tác,SKU,Mã SKU đối tác,Giá,Tên sản phẩm,Mã sản phẩm khai báo thuế,Tên sản phẩm khai báo thuế,VAT,"Loại 
lưu trữ",Quản lý theo hạn sử dụng,Quản lý số lô,Hình thức xuất kho,Link hình ảnh,"Loại 
sản phẩm","Mã 
danh 
mục","Mã 
đơn vị tính","Kích 
hoạt",Ngày gởi thông báo hết hạn,"Hạn 
sử dụng 
tối thiểu 
xuất kho 
theo ngày","Ghi chú 
đóng gói",Sản phẩm batch lữu trữ Serial khi xuất kho,Không theo dõi ngày nhập kho,Thời hạn tối thiểu nhập kho (%),Thời hạn tối thiểu xuất kho (%),Sản phẩm có mã vạch,"Loại
kho","Thời hạn sử dụng
(tháng)","Dài
(cm)","Rộng
(cm)","Cao
(cm)","Khối lượng
(gram)",Tạo bởi,Tạo lúc,
1,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BK44,T003BK44,125000,Dép Da Nam ZAPATI Riva T003 - Màu Đen - Size 44,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
2,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BK43,T003BK43,125000,Dép Da Nam ZAPATI Riva T003 - Màu Đen - Size 43,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
3,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BK42,T003BK42,125000,Dép Da Nam ZAPATI Riva T003 - Màu Đen - Size 42,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
4,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BK41,T003BK41,125000,Dép Da Nam ZAPATI Riva T003 - Màu Đen - Size 41,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
5,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BK40,T003BK40,125000,Dép Da Nam ZAPATI Riva T003 - Màu Đen - Size 40,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
6,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BK39,T003BK39,125000,Dép Da Nam ZAPATI Riva T003 - Màu Đen - Size 39,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
7,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BK38,T003BK38,125000,Dép Da Nam ZAPATI Riva T003 - Màu Đen - Size 38,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
8,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BR44,T003BR44,125000,Dép Da Nam ZAPATI Riva T003 - Màu Nâu - Size 44,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
9,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BR43,T003BR43,125000,Dép Da Nam ZAPATI Riva T003 - Màu Nâu - Size 43,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
10,ZPT,CÔNG TY CỔ PHẦN ZAPATI TOÀN CẦU,T003BR42,T003BR42,125000,Dép Da Nam ZAPATI Riva T003 - Màu Nâu - Size 42,T003,Dép da nam đế trấu quai song song T003,8,Hàng quản lý theo số lượng,No,No,Không định nghĩa,,Hàng lẻ,DQN,DOI,Yes,0,0,,No,Yes,70,80,Yes,Kho thường,,25,10,5,500,zpt.superadmin - Administrator,13-04-2026 11:06:55,269000
